Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
2PCS H4 H7 H1 H8 H9 H11 4300K 5000K 6500K 8000K 25000K 12V LED Car Headlight,403936320722,Promoted,600,"4,513",41,-16.30%,600,0.80%,"1,101",847,-6.80%,"1,924",7.20%,959,"3,554",84,4,0,76,4,1.80%,1,1.20%
Waterproof Double Layer Pet Litter Box Mat Washable Non-Slip,404118230999,Promoted,300,313,0,-,0,-,37,248,-23.50%,28,-17.60%,250,63,0,0,0,0,0,0.00%,0,-
Cotton Polo Shirts Men Casual Solid Color Slim Fit Mens Polo New Summer Fashion,404316974357,Promoted,300,170,1,100.00%,15,-,40,46,100.00%,68,100.00%,50,120,3,0,0,3,0,1.80%,0,0.00%
2Pcs Fashion Toddler Baby Boys Girl Fall Clothes Sets Baby Girl Clothing Set,403941935205,Promoted,240,419,3,-,4,600.00%,20,332,232.00%,60,215.80%,337,82,1,1,0,0,0,0.20%,0,0.00%
MEISHENJIE 3 Pairs Natural 3D Mink False Eyelashes Soft Thick Long Extension,404185633275,Promoted,190,276,4,0.00%,4,-33.30%,36,197,13.20%,35,9.40%,209,67,1,0,0,1,0,0.40%,0,0.00%
Makeup Brushes Set Pro 5/12/13/14 Pcs for Powder Eye Shadow Blending Eyelash Lip,404185644535,Promoted,190,186,1,-75.00%,6,0.00%,48,122,221.10%,9,-67.90%,126,60,0,0,0,0,0,0.00%,0,-
6000/8000K LED Headlight Kit H1 H4 H7 H8 H9 H11 9012 9005 9006 - Canbus Safe,404119935866,Promoted,180,694,13,-27.80%,34,-52.50%,104,230,-30.90%,313,-49.70%,244,450,13,1,0,3,9,0.60%,0,0.00%
"3""/5""/6"" Buffing Polishing T-Shape Sponge Pads For DA/RO/GA Car Buffer Polishers",404172599291,Promoted,180,"1,822",40,25.00%,164,3.00%,465,810,-38.50%,343,-28.80%,884,938,6,2,0,4,0,0.30%,0,0.00%
Magnetic Ski Goggles w/ Quick-Change Lens - Anti-Fog Snowboard Goggles - UV400,404092340209,Promoted,160,"1,424",1,0.00%,2,-62.50%,44,"1,351",998.40%,26,44.40%,"1,364",60,2,0,0,1,1,0.10%,0,0.00%
2PCS Rotatable PU Leather Stroller Hooks For Baby Stroller Bags and Accessories,404185868421,Promoted,150,87,4,-,0,100.00%,11,24,-27.30%,48,-15.80%,30,57,1,0,0,0,1,0.00%,0,0.00%
Integrally-Molded Ski Helmet - Lightweight - Safe Snowboard Helmet for All Ages,404092353893,Promoted,130,787,2,-50.00%,6,14.30%,33,730,11.50%,16,-27.30%,744,43,1,0,0,1,0,0.10%,0,0.00%
Large Kitchen Drying Mat - Super Absorbent Dish Mat for Quick-Drying - Drain Pad,404172483623,Promoted,120,"3,276",7,-70.80%,100,-40.20%,313,"2,210",8.80%,646,1.60%,"2,221","1,055",3,1,0,2,0,0.10%,0,0.00%
MAANGE 3PCS Microfiber Makeup Remover Towel Reusable Cleaning Pad Face Skin Care,404185652177,Promoted,120,625,0,-,4,-55.60%,44,555,63.70%,22,-76.10%,559,66,2,1,0,1,0,0.30%,0,0.00%
Silicone Kitchen Utensils Set Wooden Handles Spatula Set Cooking Utensils,404082995239,Promoted,110,402,3,-,15,20.00%,150,175,-65.30%,59,-78.50%,184,218,0,0,0,0,0,0.00%,0,-
12Pcs 3D Butterfly Wall Stickers Home Decor For Wedding Decoration Magnet Fridge,404089028543,Promoted,110,157,0,-,8,33.30%,40,95,4.40%,14,-39.10%,98,59,0,0,0,0,0,0.00%,0,-
Genuine Leather BMW Keychain Jet-Tag Design For E30 E34 E36 E39 E46 E60 E61 E84,404124421215,Promoted,100,"1,019",16,60.00%,25,-6.80%,145,549,19.10%,284,-32.90%,610,409,6,0,0,1,5,0.10%,0,0.00%
Denim Style Shirt For Men Long Sleeve Shirt Casual Slim Fit Mens Designer Shirt,404316976766,Promoted,100,56,0,100.00%,14,-,14,18,100.00%,10,100.00%,19,37,0,0,0,0,0,0.00%,0,-
"Black Kitchen Square Cabinet Handles Drawer Pull Knobs Stainless Steel 12mm 1/2""",403973567571,Promoted,90,"1,959",2,100.00%,106,-24.50%,477,343,-50.60%,"1,031",18.60%,360,"1,599",14,2,0,11,1,0.70%,3,21.40%
Long Dog Leash Pet Leash Outdoor Cat Dog Training Walking Rope 5M/10M/15M,404088985826,Promoted,90,591,0,-100.00%,3,0.00%,24,558,346.40%,6,50.00%,562,29,0,0,0,0,0,0.00%,0,-
"RGB 5050 Bluetooth LED Strip Lights Flexible Ribbon, DIY, DC 12V Indoor/Outdoor",404123366094,Promoted,90,79,3,50.00%,7,66.70%,55,11,-73.80%,3,-91.20%,17,62,0,0,0,0,0,0.00%,0,-
Switch Joy-con Repair Kit Replacement Joystick Thumb Stick With Repair Tool,404189779576,Promoted,90,"1,073",6,-62.50%,27,-2.90%,184,771,179.30%,85,431.30%,801,272,5,3,0,2,0,0.50%,0,0.00%
SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,403881076710,Promoted,80,396,0,-100.00%,5,-72.20%,38,303,-31.40%,50,-20.60%,305,91,0,0,0,0,0,0.00%,0,-
2pcs H8 H11 LED Bulbs - Super Bright 1200LM 6000K White for Car Fog Lights,404120076573,Promoted,80,39,0,-100.00%,1,-66.70%,10,9,0.00%,19,-13.60%,10,29,0,0,0,0,0,0.00%,0,-
"10pcs T5 LED Bulbs W3W W1.2W for Car Interior Dashboard, Indicator, Wedge Lights",404120077681,Promoted,70,529,0,-100.00%,0,-100.00%,43,261,96.20%,225,56.30%,262,267,0,0,0,0,0,0.00%,0,-
Waterproof Reusable Diaper Bag - Large Mommy Handbag For On-The-Go Baby Care,404185888925,Promoted,70,624,5,-73.70%,24,-60.30%,193,347,-15.80%,55,-50.90%,436,188,1,0,0,1,0,0.20%,0,0.00%
Replacement Flex Cables For Switch Joy-Con Repair Parts Button Flex Cable,404189774099,Promoted,70,551,3,200.00%,14,-15.00%,227,296,140.70%,11,57.10%,325,226,2,0,0,1,1,0.20%,0,0.00%
Ulanzi  F38 Universal DSLR Camera Gimbal Arca Swiss Quick Release Plate,404238933018,Promoted,70,"4,022",105,-30.00%,193,-31.30%,748,"2,409",-15.90%,567,-24.90%,"2,766","1,256",15,6,0,9,0,0.40%,0,0.00%
Universal Motorcycle Rear View Mirrors CNC Bar End Handlebar Rear View Mirrors,403857259309,Promoted,60,523,4,-,14,5.90%,138,197,-25.40%,170,84.80%,217,306,5,1,0,4,0,1.00%,1,20.00%
1000ml Portable Travel Collapsible Foldable Pet Dog Bowl for Food & Water Bowls,403881076711,Promoted,60,176,0,-,1,0.00%,36,74,7.20%,65,-7.10%,78,98,1,0,0,0,1,0.00%,0,0.00%
Waterproof Ski & Snowboard Gloves - Thermal & Warm - Men & Women,404092358068,Promoted,60,228,0,-,1,-,11,213,31.50%,3,200.00%,213,15,0,0,0,0,0,0.00%,0,-
ROCKBROS Smart Bike Tail Light Auto Brake Sensing Waterproof USB Rechargeable,404123048081,Promoted,60,634,3,-40.00%,4,-56.30%,65,548,116.60%,14,-48.10%,554,80,1,0,0,0,1,0.00%,0,0.00%
Short Stunt Clutch Lever for CBR F2 F3 F4 F4I 650F 1000RR CRF 250R 450R CR 125R,404184727523,Promoted,60,400,10,100.00%,12,29.40%,76,282,16.00%,20,-51.20%,337,63,1,1,0,0,0,0.30%,0,0.00%
ESP-32S ESP32 WIFI Dual Core CPU Development Board BT Module Ultra-Low Power,404311547933,Promoted,60,251,3,100.00%,16,-,82,124,100.00%,26,100.00%,149,102,0,0,0,0,0,0.00%,0,-
Naturehike Mongar 2 Person Backpacking Tent Ultralight Travel Camping Tent,404312762876,Promoted,60,584,13,100.00%,74,-,159,262,100.00%,76,100.00%,301,283,0,0,0,0,0,0.00%,0,-
"7"" Professional Pet Grooming Kit Scissors Kit For Professional Pet Groomers",403844114814,Promoted,50,905,8,166.70%,15,-23.30%,53,634,68.20%,195,22.60%,650,255,9,4,0,5,0,1.00%,0,0.00%
30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,403848501342,Promoted,50,"7,030",4,100.00%,12,60.00%,105,"6,681",1686.40%,228,347.10%,"6,697",333,1,0,0,1,0,0.00%,0,0.00%
2PCS 6000K H8 H11 H16(JP) 9005/HB3 9006/HB4 LED Fog Light Day Time Running Light,403936301312,Promoted,50,92,0,-,0,-,11,63,-41.10%,18,-55.00%,64,28,0,0,0,0,0,0.00%,0,-
Coffee Filter Disposable Coffer Filters Natural Cone U - Shaped Coffee Filter,404089038993,Promoted,50,217,2,-33.30%,3,-16.70%,31,166,88.60%,15,-6.30%,170,47,0,0,0,0,0,0.00%,0,-
2pcs H8 H11 H16 9005 HB3 LED Bulbs - Super Bright Car Fog Lights 12V 6000K White,404120074287,Promoted,50,100,0,-,0,-,12,74,174.10%,14,-60.00%,74,26,2,0,0,0,2,0.00%,0,0.00%
Matte Black Basin Faucet Deck Mounted Single Lever Waterfall Bathroom Tap Mixer,404189136360,Promoted,50,966,1,-50.00%,18,-48.60%,163,668,-74.80%,116,-85.40%,670,296,2,0,0,2,0,0.20%,0,0.00%
T-aped Tripod Stand Background Backdrop Photography Adjustable Support System Ph,404207134526,Promoted,50,313,1,-80.00%,5,-64.70%,23,248,40.90%,36,-28.00%,257,56,0,0,0,0,0,0.00%,0,-
Ultralight 2 Person Hammock Tear Resistance Hanging Bed Portable Hammock,404312745021,Promoted,50,163,0,100.00%,18,-,56,59,100.00%,30,100.00%,59,104,0,0,0,0,0,0.00%,0,-
Camping Hammer Stainless Steel Outdoor Tent Peg Stake Mallet with Stake Puller,404312807056,Promoted,50,116,1,100.00%,4,-,41,52,100.00%,18,100.00%,54,62,0,0,0,0,0,0.00%,0,-
Waterproof Car Seat Cover Rear Back Seat Cover Protector For Kids Pets Travel,403844136294,Promoted,40,162,0,-,0,-,24,127,130.90%,11,-15.40%,128,34,1,0,0,1,0,0.60%,0,0.00%
Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,403859808503,Promoted,40,311,1,0.00%,6,0.00%,49,193,-35.90%,62,-8.80%,203,108,0,0,0,0,0,0.00%,0,-
6000K White COB Motorcycle LED Headlight H1 H4 H7 H11 Universal Motorcycle ATV,403984120203,Promoted,40,104,0,-,4,0.00%,24,38,-35.60%,38,-53.70%,39,65,2,0,0,0,2,0.00%,0,0.00%
380ml Mini Blender Portable Juicer Cup USB Rechargeable Fruit Smoothies Mixer US,404008226957,Promoted,40,"13,656",77,-35.30%,197,-17.50%,"1,227","10,244",2.30%,"1,911",-27.00%,"10,605","3,051",23,5,0,12,6,0.10%,0,0.00%
100pcs Luminous Wall Stickers Glow In The Dark Stars Stickers For Kids Baby Room,404089024783,Promoted,40,154,0,-,0,-100.00%,15,134,74.00%,5,-44.40%,139,15,0,0,0,0,0,0.00%,0,-
Folding Remote Car Key Shell Case for Toyota Corolla RAV4 Camry Avlon Scion,404117480504,Promoted,40,101,3,0.00%,5,0.00%,8,37,-35.10%,48,-64.20%,41,60,1,0,0,0,1,0.00%,0,0.00%
Remote Car Key M3N32337100 315Mhz For GMC/Chevrolet Silverado 1500 2500 3500,404117498264,Promoted,40,136,2,0.00%,1,-75.00%,23,88,83.30%,22,144.40%,92,44,6,2,0,0,4,1.50%,0,0.00%
"RGBIC LED Neon Rope Light with Music Sync, Smart App, Alexa & Google Compatible",404123253272,Promoted,40,827,11,10.00%,18,-35.60%,139,488,-54.20%,171,-64.70%,525,302,2,0,0,1,1,0.10%,0,0.00%
20FT High Bright Solar LED String Lights 20 Waterproof S14 Bulbs Outdoor Garden,404123289710,Promoted,40,630,6,-33.30%,13,-32.10%,77,452,83.70%,82,-22.60%,477,153,1,1,0,0,0,0.20%,0,0.00%
MT-16 Extend Tablet Tripod with Cold Shoe for Microphone LED Video Fill Light Sm,404238937456,Promoted,40,"1,095",5,-54.50%,9,-60.00%,101,945,228.10%,35,-28.60%,973,122,2,2,0,0,0,0.20%,0,0.00%
J12 Wireless Lavalier Microphone System Mini Mic iPhone Android Live Broadcast,404238942921,Promoted,40,411,17,-15.00%,13,-53.80%,154,156,-46.60%,71,-26.00%,192,219,1,0,0,0,1,0.00%,0,0.00%
Compact Electric Juicer - Portable and Ideal for Fresh Smoothies and Juices,404321441798,Promoted,40,21,0,100.00%,0,-,7,13,100.00%,1,100.00%,13,8,0,0,0,0,0,0.00%,0,-
Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,403868133641,Promoted,39,"1,154",3,50.00%,5,-72.40%,155,901,33.10%,90,-31.80%,913,241,2,1,0,1,0,0.20%,0,0.00%
Portable Outdoor Gas Camping Stove Cooking System For Camping Hunting Fishing,403847663186,Promoted,30,982,2,0.00%,4,-25.00%,29,926,109.50%,21,10.50%,932,50,0,0,0,0,0,0.00%,0,-
9005/HB3 LED Headlight 20000LM CSP Chip 12v LED 4300K 6500K 8000K Low Beam,403853521752,Promoted,30,123,0,-100.00%,7,-65.00%,40,39,-55.70%,37,-21.30%,41,82,1,0,0,1,0,0.80%,0,0.00%
Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,403878070386,Promoted,30,"15,417",120,-38.50%,783,-0.70%,"1,526","9,980",236.30%,"3,008",-25.20%,"10,320","5,097",91,33,0,54,4,0.60%,3,3.30%
Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,403878070387,Promoted,30,"7,412",57,-5.00%,122,-26.30%,394,"6,061",287.00%,778,-23.00%,"6,164","1,248",15,2,0,12,1,0.20%,1,6.70%
SONOFF Zigbee 3.0 USB Dongle Plus Stick Smart Universal ZHA Gateway Home Bridge,403881257588,Promoted,30,"1,597",8,-46.70%,135,-9.50%,430,464,-13.10%,560,-32.90%,495,"1,102",13,0,2,8,3,0.50%,0,0.00%
Digital AC/DC Voltage Detector Test Pen Smart Non-Contact Tester Pen 12-1000V,403908182206,Promoted,30,172,0,-100.00%,6,0.00%,46,101,1.00%,19,-20.80%,103,69,0,0,0,0,0,0.00%,0,-
Microfiber Cleaning Cloth Rag Car Wash Detailing Towel Kitchen Dusting Bathroom,404090917599,Promoted,30,262,0,-100.00%,12,-62.50%,118,65,-81.50%,67,-76.90%,69,193,2,0,0,2,0,0.80%,0,0.00%
E-Collar Electric Dog Training Collar Remote Control Dog Collar with Vibration,404115009836,Promoted,30,112,3,-,10,116.70%,55,24,41.20%,20,53.80%,29,83,1,0,0,1,0,0.90%,0,0.00%
